"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnAG]","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48282","attTime","groupTime48281","SUCCESSTime","pause1Time","groupTime48285","KcTime","groupTime48284","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48286","IntChairTime","groupTime48283","M3Time","M4Time","PROLIFICTime"
"6","2025-05-07 22:11:45","6","en","1829665066","2025-05-07 22:08:14","2025-05-07 22:11:45","96.231.150.218","https://app.prolific.com/","A5","","","A7","AGR","","","","","","","","","A2","4","1","5d7fd2a5987f70001602d95b","213.48","72.56","","5.48","","","60.19","","40.41","","","","","","","20.4","","14.44","","",""
"7","2025-05-07 22:12:53","6","en","1647953530","2025-05-07 22:09:31","2025-05-07 22:12:53","108.147.193.44","","A5","","","A1","","","-oth-","","","","","The CEO didn't think about the environment at all.","","A2","4","0","60ed8f50e13ce18a6d406a09","203.71","49.19","","7.03","","","42.41","","78.63","","","","","","","11.43","","15.02","","",""
"8","2025-05-07 22:15:39","6","en","1349526178","2025-05-07 22:11:28","2025-05-07 22:15:39","90.195.181.241","","A5","","","A2","","","AGR","","","","","","","A2","2","0","64b00963c1ea5bb33dc30910","253.47","82.29","","12.7","","","66","","49.31","","","","","","","10.69","","32.48","","",""
"9","2025-05-07 22:15:37","6","en","1414865026","2025-05-07 22:11:42","2025-05-07 22:15:37","174.55.214.84","","A5","","","A5","AGA","","","","","","","","","A2","2","1","664cf2037353bb98801436b5","236.99","124.71","","22.01","","","54.48","","20.21","","","","","","","7.09","","8.49","","",""
"10","2025-05-07 22:16:21","6","en","1521747099","2025-05-07 22:12:50","2025-05-07 22:16:20","199.48.180.94","","A5","","","A6","AGR","","","","","","","","","A2","5","0","67e1f9a91da223a80563aa1c","212.39","124.79","","10.98","","","35.81","","19.64","","","","","","","6.18","","14.99","","",""
"11","2025-05-07 22:19:23","6","en","465297390","2025-05-07 22:17:32","2025-05-07 22:19:23","86.149.25.239","","A5","","","A1","","","-oth-","","","","","The CEO wasn’t interested in helping the environment ","","A2","4","0","66ff08f35285075a6031c8d5","113.15","34.92","","4.91","","","17.36","","41.05","","","","","","","5.68","","9.23","","",""
"12","2025-05-07 22:21:57","6","en","265414985","2025-05-07 22:18:15","2025-05-07 22:21:57","23.190.120.72","","A5","","","A6","AGA","","","","","","","","","A2","5","0","67c7a68e2bb24579da79fd6f","224.38","75.81","","15.65","","","16.62","","92.48","","","","","","","10.34","","13.48","","",""
"13","2025-05-07 22:21:14","6","en","2122212091","2025-05-07 22:18:15","2025-05-07 22:21:14","98.22.190.17","","A5","","","A6","AGA","","","","","","","","","A2","2","0","66bb8f06965f440e783d848e","180.06","61.16","","7.13","","","51.55","","24.51","","","","","","","5.96","","29.75","","",""
"14","2025-05-07 22:22:24","6","en","1828730471","2025-05-07 22:18:36","2025-05-07 22:22:24","89.187.9.139","","A5","","","A1","","","-oth-","","","","","CEO only want to make profit, he/she is  not concern about the environment","","A2","4","0","67c65fc36a80dfef8fbc1467","284.01","39.9","","5.57","","","108","","89.47","","","","","","","12.72","","28.35","","",""
"15","2025-05-07 22:21:33","6","en","1268761347","2025-05-07 22:18:44","2025-05-07 22:21:33","168.158.85.101","","A5","","","A6","AGA","","","","","","","","","A2","5","0","67e9e0449a506867ccbac8cd","171.16","45.16","","28.77","","","23.5","","13.76","","","","","","","34.99","","24.98","","",""
"16","2025-05-07 22:26:03","6","en","467825440","2025-05-07 22:19:46","2025-05-07 22:26:03","68.48.235.250","","A5","","","A1","","","AGB","","","","","","","A2","5","1","630a8feaa8eef385f72dc1a5","378.33","118.12","","3.69","","","54.14","","39.14","","","","","","","47.03","","116.21","","",""
"17","2025-05-07 22:23:49","6","en","1173476695","2025-05-07 22:20:23","2025-05-07 22:23:48","108.12.232.205","","A5","","","A7","AGA","","","","","","","","","A2","3","0","651090beae417ded35c4ef2f","208.45","56.62","","4.77","","","50.86","","32.8","","","","","","","32.41","","30.99","","",""
"18","2025-05-07 22:23:16","6","en","111350300","2025-05-07 22:21:34","2025-05-07 22:23:16","98.184.72.207","","A5","","","A6","AGA","","","","","","","","","A1","3","0","5eea9a9ea8d6d71ba912a73e","104.45","43.61","","3.53","","","24.79","","15.69","","","","","","","7.24","","9.59","","",""
"19","2025-05-07 22:27:18","6","en","182103416","2025-05-07 22:25:47","2025-05-07 22:27:18","172.58.242.191","","A5","","","A7","AGA","","","","","","","","","A1","4","0","5ca3bd506c848000011d0afa","93.04","30.38","","5.73","","","23.2","","11.51","","","","","","","13.19","","9.03","","",""
"20","2025-05-07 22:28:18","6","en","1711958239","2025-05-07 22:26:10","2025-05-07 22:28:18","24.17.48.7","","A5","","","A7","AGA","","","","","","","","","A2","4","1","5f80c3b14dc3ba1509305a89","130.5","42.46","","11.52","","","40.09","","14.96","","","","","","","6.57","","14.9","","",""
"21","2025-05-07 22:37:37","6","en","520539920","2025-05-07 22:33:59","2025-05-07 22:37:37","47.157.254.61","","A5","","","A6","AGA","","","","","","","","","A2","2","0","6657b0d02e5dfa6c2663a647","221.28","57.36","","10.46","","","44.44","","55.84","","","","","","","33.79","","19.39","","",""
