"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnST]","HrKnSTAgr","HrKnSTAgr[other]","HrKnSTDis","HrKnSTDis[other]","HrKnSTHes","HrKnSTHes[other]","HrKnSTAgrOt","HrKnSTDisOt","HrKnSTHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48298","attTime","groupTime48297","SUCCESSTime","pause1Time","groupTime48301","KcTime","groupTime48304","HrKnSTAgrTime","HrKnSTDisTime","HrKnSTHesTime","HrKnSTAgrOtTime","HrKnSTDisOtTime","HrKnSTHesOtTime","groupTime48302","IntChairTime","groupTime48299","M3Time","M4Time","PROLIFICTime"
"6","2025-05-07 22:11:45","6","en","1777912138","2025-05-07 22:09:34","2025-05-07 22:11:45","174.205.226.3","","A5","","","A7","AGB","","","","","","","","","A2","5","0","59ffb939517dfb00013dadda","133.5","37.66","","8.41","","","38.14","","33.49","","","","","","","6.64","","9.16","","",""
"7","2025-05-07 22:17:32","6","en","901256463","2025-05-07 22:12:06","2025-05-07 22:17:32","77.111.118.201","","A5","","","A3","","","AGA","","","","","","","A2","4","0","673b4532dad611895a16ae00","327.29","36.15","","5.97","","","28.8","","14.15","","","","","","","5.57","","236.65","","",""
"8","2025-05-07 22:15:12","6","en","1780706806","2025-05-07 22:13:23","2025-05-07 22:15:12","81.77.146.245","","A5","","","A7","AGA","","","","","","","","","A1","3","0","66c20b634a3b292d25596fbc","111.43","30.53","","5.47","","","25.89","","20.18","","","","","","","12.68","","16.68","","",""
"9","2025-05-07 22:15:10","6","en","1282439860","2025-05-07 22:13:34","2025-05-07 22:15:10","99.24.146.124","","A5","","","A6","AGA","","","","","","","","","A2","4","0","67445788eafdd6f0a0dcd927","97.98","33.15","","7.6","","","20.98","","10.25","","","","","","","5.31","","20.69","","",""
"10","2025-05-07 22:20:27","6","en","2119229127","2025-05-07 22:15:45","2025-05-07 22:20:27","77.47.158.54","","A5","","","A3","","","-oth-","","","","","The CEO didn't care at all about helping the environment. He just wanted to make as much profit as he can.","","A2","6","0","67f2f188b1977c699d6f1dc5","284.27","108.53","","9.43","","","41.1","","93.03","","","","","","","15.48","","16.7","","",""
"11","2025-05-07 22:18:02","6","en","1795893893","2025-05-07 22:15:56","2025-05-07 22:18:02","31.94.30.24","","A5","","","A5","AGR","","","","","","","","","A2","3","0","6606d4f4acdc3a6b8200c0ee","128.12","40.15","","5.94","","","43.44","","17.7","","","","","","","7.95","","12.94","","",""
"12","2025-05-07 22:20:35","6","en","217300933","2025-05-07 22:17:18","2025-05-07 22:20:35","45.87.62.124","","A5","","","A3","","","AGB","","","","","","","A2","4","0","672cbd84c7bd6e9e70eef89c","199.92","57.21","","7.62","","","90.64","","21.84","","","","","","","9.02","","13.59","","",""
"13","2025-05-07 22:19:45","6","en","220323402","2025-05-07 22:18:30","2025-05-07 22:19:45","82.31.104.160","","A5","","","A6","AGR","","","","","","","","","A2","5","1","5d8ceadadad82b0016bac50b","77.01","26.66","","3.15","","","23","","8.77","","","","","","","6.56","","8.87","","",""
"14","2025-05-07 22:21:57","6","en","769947278","2025-05-07 22:18:50","2025-05-07 22:21:57","45.158.193.58","","A5","","","A7","AGA","","","","","","","","","A2","4","1","673b5242cd8343023316ee4e","189.07","66.38","","9.05","","","52.6","","18.45","","","","","","","12.36","","30.23","","",""
"15","2025-05-07 22:22:29","6","en","2021020631","2025-05-07 22:20:08","2025-05-07 22:22:29","154.7.225.169","","A5","","","A2","","","AGB","","","","","","","A2","4","1","67e1dede9ac73d05f0eb255e","142.95","40.39","","3.9","","","18.96","","52.98","","","","","","","7.45","","19.27","","",""
"16","2025-05-07 22:33:00","6","en","1187948050","2025-05-07 22:30:02","2025-05-07 22:33:00","168.235.145.201","","A5","","","A2","","","AGR","","","","","","","A2","4","0","67eab1aeb37aa4b619153e4b","179.75","59.14","","5.44","","","51.58","","25.8","","","","","","","19.07","","18.72","","",""
"17","2025-05-07 22:35:40","6","en","395576191","2025-05-07 22:31:06","2025-05-07 22:35:40","73.207.88.221","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A1","3","0","656fc7d36afa7a7199fe7c75","275.89","54.39","","47.26","","","50.06","","83.11","","","","","","","10.08","","30.99","","",""
