Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681bd99e03055887929bcd03,5d7fd2a5987f70001602d95b,APPROVED,Not Applicable,2025-05-07T22:07:30.461000Z,2025-05-07T22:11:49.188000Z,2025-05-28T00:00:20.438000Z,2025-05-07T22:11:49.826339Z,259.0,2B73928C,5124,49,Female,Asian,Philippines,United States,Cambodia,English,No,Full-Time
681bd9a7819e3dc7f61407a7,66d5d10f4defd1d7b2cdd5c5,APPROVED,Not Applicable,2025-05-07T22:07:48.132000Z,2025-05-07T22:10:06.451000Z,2025-05-28T00:00:20.851000Z,2025-05-07T22:10:07.043804Z,139.0,2B73928C,2104,38,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bd9c0ce4d2ac560fb2d01,66e88979d6bb95675bfdd165,APPROVED,Not Applicable,2025-05-07T22:08:05.284000Z,2025-05-07T22:11:01.170000Z,2025-05-28T00:00:21.773000Z,2025-05-07T22:11:01.838093Z,176.0,2B73928C,1521,53,Female,White,United States,United States,United States,English,No,Full-Time
681bd9c941b0b67c96d32a1d,680d8b072f273065b2723fda,APPROVED,Not Applicable,2025-05-07T22:08:18.659000Z,2025-05-07T22:17:24.089000Z,2025-05-28T00:00:22.153000Z,2025-05-07T22:17:24.666083Z,546.0,2B73928C,318,41,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
681bd9f4d76d1ef1052ea6b2,6288557c67c5e08a1ebaf795,APPROVED,Not Applicable,2025-05-07T22:08:56.032000Z,2025-05-07T22:11:32.279000Z,2025-05-28T00:03:45.264000Z,2025-05-07T22:11:32.798525Z,157.0,2B73928C,966,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
681bd9f6d19a6c386c4883d4,664aa55ce849bcd782008c64,APPROVED,Not Applicable,2025-05-07T22:08:59.188000Z,2025-05-07T22:10:37.999000Z,2025-05-28T00:03:45.764000Z,2025-05-07T22:10:38.528287Z,99.0,2B73928C,934,30,Male,White,United States,United States,United States,English,Yes,Full-Time
681bd9fda8c809f8cbe5ce75,59ffb939517dfb00013dadda,APPROVED,Not Applicable,2025-05-07T22:09:12.754000Z,2025-05-07T22:11:49.638000Z,2025-05-28T00:03:46.292000Z,2025-05-07T22:11:50.131295Z,157.0,2B73928C,7525,37,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681bda002936d1fb860a5cd3,60ed8f50e13ce18a6d406a09,APPROVED,Not Applicable,2025-05-07T22:09:04.405000Z,2025-05-07T22:12:59.528000Z,2025-05-28T00:03:46.790000Z,2025-05-07T22:13:00.068341Z,236.0,2B73928C,5219,47,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bda089e8d87a56eb98ecf,65962d768923ce48b037bd8a,APPROVED,Not Applicable,2025-05-07T22:09:58.720000Z,2025-05-07T22:16:52.104000Z,2025-05-28T00:00:22.538000Z,2025-05-07T22:16:52.624332Z,414.0,2B73928C,945,47,Female,White,United States,United States,United States,English,No,Full-Time
681bda327dfa227377b69b6e,5c56964991c0ad0001cfa5ae,APPROVED,Not Applicable,2025-05-07T22:09:58.922000Z,2025-05-07T22:12:03.620000Z,2025-05-28T00:03:47.481000Z,2025-05-07T22:12:04.095934Z,125.0,2B73928C,4764,36,Male,White,United States,United States,United States,English,No,Full-Time
681bda4b5c1293928622f06a,6711729a71c35dc0418b2ef3,APPROVED,Not Applicable,2025-05-07T22:10:24.557000Z,2025-05-07T22:13:31.032000Z,2025-05-28T00:00:22.919000Z,2025-05-07T22:13:31.561897Z,187.0,2B73928C,1048,65,Female,White,United States,United States,United States,English,No,Full-Time
681bda4fd7d42482aeeeb372,67dfb5799ff05c298d95ee55,APPROVED,Not Applicable,2025-05-07T22:10:37.676000Z,2025-05-07T22:13:19.695000Z,2025-05-28T00:00:23.389000Z,2025-05-07T22:13:20.215255Z,163.0,2B73928C,494,33,Female,White,United States,United States,United States,English,No,Full-Time
681bda5e9b34dd066d6e967e,61005834c822c93af7ac2d2b,APPROVED,Not Applicable,2025-05-07T22:10:43.905000Z,2025-05-07T22:12:44.717000Z,2025-05-28T00:00:23.833000Z,2025-05-07T22:12:45.309764Z,121.0,2B73928C,390,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
681bda5ffe3ec9a5ddc4f382,67511b1497ff44e336a37e44,APPROVED,Not Applicable,2025-05-07T22:10:46.328000Z,2025-05-07T22:15:13.399000Z,2025-05-28T00:00:24.228000Z,2025-05-07T22:15:14.004687Z,268.0,2B73928C,272,48,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
681bda6ae3c68d9e73c9f10e,64b00963c1ea5bb33dc30910,APPROVED,Not Applicable,2025-05-07T22:10:50.728000Z,2025-05-07T22:15:42.169000Z,2025-05-28T00:03:48.061000Z,2025-05-07T22:15:42.714241Z,292.0,2B73928C,849,73,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bda6e15333a0105ff0e9a,660207c28ad9227816c9593d,APPROVED,Not Applicable,2025-05-07T22:10:54.566000Z,2025-05-07T22:13:27.454000Z,2025-05-28T00:03:48.730000Z,2025-05-07T22:13:27.994028Z,153.0,2B73928C,1064,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bda71842440179bcf7292,67cf58e37c80d731a206b836,APPROVED,Not Applicable,2025-05-07T22:11:08.156000Z,2025-05-07T22:17:13.311000Z,2025-05-28T00:00:24.643000Z,2025-05-07T22:17:13.845179Z,366.0,2B73928C,168,66,Female,Black,United States,United States,United States,English,No,Full-Time
681bda78147c6493cf92b849,5f25419d6c25411a2b68ddd8,APPROVED,Not Applicable,2025-05-07T22:11:04.973000Z,2025-05-07T22:15:39.905000Z,2025-05-28T00:03:49.314000Z,2025-05-07T22:15:40.464127Z,275.0,2B73928C,2673,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681bda7d61d3ea8051e38171,664cf2037353bb98801436b5,APPROVED,Not Applicable,2025-05-07T22:11:14.198000Z,2025-05-07T22:15:41.592000Z,2025-05-28T00:00:25.079000Z,2025-05-07T22:15:42.102261Z,268.0,2B73928C,2334,36,Female,White,United States,United States,United States,English,No,Part-Time
681bda8047c4f141b76fd5bd,6009c8b032ba910988731c72,APPROVED,Not Applicable,2025-05-07T22:11:16.668000Z,2025-05-07T22:13:07.427000Z,2025-05-28T00:03:50.001000Z,2025-05-07T22:13:07.905571Z,111.0,2B73928C,652,25,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
