participant,PROLIFIC,condition,att,Kc[KnAG],Kc[KnST],Kc[KnPR],KAGJust,KSTJust,KPRJust,KAGNominal,KSTNominal,KPRNominal,IntChair
1,67eb91c75bdf0be76c9a7f7c,Harm,A5,2,2,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
2,640d43c9451ce148162a7643,Harm,A5,3,3,3,AGA,AGB,AGA,Agree,Agree,Agree,Yes
3,67389f3912380b4b3cd0b7d7,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
4,67d3429b4fd895a6f9d81f2c,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
5,6547eba1d8a02576605bcfb2,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
6,5c3b70640eaa0100018ea877,Harm,A5,3,3,3,AGR,AGR,AGR,Agree,Agree,Agree,No
7,67e70a61f963fecfc78db7ab,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
8,667410863d71e0ac637deb22,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
9,611341c34be95409850e4341,Harm,A5,3,3,3,AGR,AGR,AGA,Agree,Agree,Agree,Yes
10,5f4e52a627d2a0000a8ed0c5,Harm,A5,3,3,3,AGA,AGB,AGA,Agree,Agree,Agree,Yes
11,5a8ad2082a842c0001fce0f2,Harm,A5,3,3,3,AGB,AGA,AGB,Agree,Agree,Agree,Yes
12,5b233660648d5b0001b7de87,Harm,A5,3,3,3,AGB,AGA,AGB,Agree,Agree,Agree,Yes
13,6413c7853eba2b2215197ff4,Harm,A5,2,2,2,AGA,AGA,AGB,Agree,Agree,Agree,Yes
14,680d72d437427b266e36d491,Harm,A3,2,3,2,AGB,AGB,AGA,Agree,Agree,Agree,Yes
15,67227b6a95c02df067984f28,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
16,67e1d6b31e541f205d4a3f23,Harm,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,Yes
