Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68237a9bd4b284a000d02f3a,63222311994c6e4c35bb2a55,AWAITING REVIEW,Not Applicable,2025-05-13T17:00:14Z,2025-05-13T17:07:16Z,NA,2025-05-13T17:07:17Z,422,2B73928C,2363,56,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
68237b08c0dacae3241762ef,665762fdab6df18f5032505b,AWAITING REVIEW,Not Applicable,2025-05-13T17:02:07Z,2025-05-13T17:06:18Z,NA,2025-05-13T17:06:19Z,251,2B73928C,1221,49,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
68237cd619e052337dccd6fb,640d43c9451ce148162a7643,AWAITING REVIEW,Not Applicable,2025-05-13T17:09:48Z,2025-05-13T17:11:14Z,NA,2025-05-13T17:11:14Z,87,2B73928C,6432,49,Male,White,United States,United States,United States,English,No,Full-Time
6823820283b35e12fad7e121,6811ffcdbe04a28e7b3ab8a9,AWAITING REVIEW,Not Applicable,2025-05-13T17:31:53Z,2025-05-13T17:34:39Z,NA,2025-05-13T17:34:40Z,167,2B73928C,30,63,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bef98ff21aefa5eb3033c,62916bb383e38e21d42cef2b,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:25Z,2025-05-07T23:43:48Z,NA,2025-05-07T23:43:49Z,144,2B73928C,877,34,Male,White,United States,United States,United States,English,No,Full-Time
681befa1f3f85dacde034065,66bbcf42208f7ca6793ac25b,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:21Z,2025-05-07T23:43:14Z,NA,2025-05-07T23:43:15Z,114,2B73928C,93,21,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681befa33c7bd7ae84e0ec97,5f4e52a627d2a0000a8ed0c5,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:54Z,2025-05-07T23:45:21Z,NA,2025-05-07T23:45:22Z,208,2B73928C,312,44,Male,White,DATA_EXPIRED,United States,United States,English,No,Part-Time
681befa56eb10336f1c5ad0a,6234965d3869b875dc31d93a,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:47Z,2025-05-07T23:44:52Z,NA,2025-05-07T23:44:52Z,186,2B73928C,4907,31,Male,Asian,United States,United States,United States,English,Yes,Full-Time
681befa6d10e20a621529af1,5a8ad2082a842c0001fce0f2,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:31Z,2025-05-07T23:45:33Z,NA,2025-05-07T23:45:34Z,242,2B73928C,3371,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681befa88fc77ffbbfdde468,5b233660648d5b0001b7de87,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:44Z,2025-05-07T23:45:49Z,NA,2025-05-07T23:45:50Z,246,2B73928C,8588,71,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681befb057d98687cb404818,66cd14d073d037ecfd8ddfbb,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:36Z,2025-05-07T23:45:59Z,NA,2025-05-07T23:46:11Z,264,2B73928C,65,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
681befba7fe35a23bb778b64,65847ecf0896ca006d2c00b7,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:52Z,2025-05-07T23:45:21Z,NA,2025-05-07T23:45:22Z,209,2B73928C,3181,33,Female,Asian,United States,United States,United States,English,No,Full-Time
681befbe67826471b370c5e7,66e4ca06d1621d63704c83f9,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:57Z,2025-05-07T23:47:15Z,NA,2025-05-07T23:47:15Z,318,2B73928C,572,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
