"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnST]","Kc[KnAG]","Kc[KnPR]","HrKnSTAgr","HrKnSTAgr[other]","HrKnSTDis","HrKnSTDis[other]","HrKnSTHes","HrKnSTHes[other]","HrKnSTAgrOt","HrKnSTDisOt","HrKnSTHesOt","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","HrKnPRAgr","HrKnPRAgr[other]","HrKnPRDis","HrKnPRDis[other]","HrKnPRHes","HrKnPRHes[other]","HrKnPRAgrOt","HrKnPRDisOt","HrKnPRHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48355","attTime","groupTime48354","SUCCESSTime","pause1Time","groupTime48358","KcTime","groupTime48361","HrKnSTAgrTime","HrKnSTDisTime","HrKnSTHesTime","HrKnSTAgrOtTime","HrKnSTDisOtTime","HrKnSTHesOtTime","groupTime48357","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48360","HrKnPRAgrTime","HrKnPRDisTime","HrKnPRHesTime","HrKnPRAgrOtTime","HrKnPRDisOtTime","HrKnPRHesOtTime","groupTime48359","IntChairTime","groupTime48356","M3Time","M4Time","PROLIFICTime"
"6","2025-05-07 23:44:48","8","en","1897454446","2025-05-07 23:42:07","2025-05-07 23:44:48","70.173.224.186","https://app.prolific.com/","A5","","","A7","A7","A7","AGA","","","","","","","","","AGB","","","","","","","","","AGA","","","","","","","","","A2","3","0","6234965d3869b875dc31d93a","163.74","50.08","","3.03","","","45.14","","15.27","","","","","","","22.69","","","","","","","12.46","","","","","","","5.28","","9.79","","",""
"7","2025-05-07 23:47:16","8","en","2108569079","2025-05-07 23:43:17","2025-05-07 23:47:16","23.153.64.237","","A5","","","A7","A6","A7","AGR","","","","","","","","","AGR","","","","","","","","","AGR","","","","","","","","","A2","5","0","680dcb74ab0a3a21ef2d6d89","243.3","60.55","","8.25","","","35.68","","38.67","","","","","","","27.59","","","","","","","31.79","","","","","","","22.39","","18.38","","",""
"8","2025-05-07 23:46:29","8","en","1713491375","2025-05-07 23:44:26","2025-05-07 23:46:29","76.146.32.15","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","4","0","65dfbf73ec3a047b5653add8","125.25","35.65","","3.83","","","22.78","","17.44","","","","","","","10.76","","","","","","","12.36","","","","","","","4.4","","18.03","","",""
"9","2025-05-07 23:52:25","8","en","641627819","2025-05-07 23:44:44","2025-05-07 23:52:25","172.59.187.210","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","4","0","67c35bed28161edad1829850","460.6","50.98","","5.2","","","46.05","","149.82","","","","","","","35.08","","","","","","","98.93","","","","","","","32.24","","42.3","","",""
"10","2025-05-07 23:48:21","8","en","511888059","2025-05-07 23:45:04","2025-05-07 23:48:21","168.235.144.2","","A5","","","A5","A5","A6","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","3","0","67f24dddcc783cdf7a1ea017","199.45","48.07","","10.77","","","49.08","","26.47","","","","","","","21.82","","","","","","","13.23","","","","","","","8.56","","21.45","","",""
"11","2025-05-07 23:50:47","8","en","171227018","2025-05-07 23:46:13","2025-05-07 23:50:47","94.2.138.72","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","4","0","62b44f66a16d45783569fad6","277.65","37.4","","5.77","","","84.19","","26.58","","","","","","","13.21","","","","","","","15.5","","","","","","","40.17","","54.83","","",""
"12","2025-05-07 23:51:30","8","en","340643634","2025-05-07 23:47:44","2025-05-07 23:51:30","68.170.3.41","","A5","","","A6","A5","A7","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","","","A2","5","1","67d89acf081049fa0e311adc","228.36","27.82","","5.6","","","66.29","","31.91","","","","","","","34.33","","","","","","","21.15","","","","","","","23.93","","17.33","","",""
"13","2025-05-08 00:53:19","8","en","306593319","2025-05-08 00:49:10","2025-05-08 00:53:19","161.8.175.190","","A5","","","A4","A4","A4","","","","","AGB","","","","","","","","","AGR","","","","","","","","","AGA","","","","","A2","2","1","67ad0cc9f3a3feb73e22852d","251.43","35.23","","30.54","","","85.67","","38.28","","","","","","","16.34","","","","","","","21.55","","","","","","","6.7","","17.12","","",""
"14","2025-05-08 01:06:58","8","en","1201196075","2025-05-08 01:04:40","2025-05-08 01:06:58","192.228.52.233","","A5","","","A2","A1","A4","","","AGB","","","","","","","","","AGB","","","","","","","","","","","AGB","","","","","A2","3","0","67673cda94b4d0cf1a6a7382","139.03","38.06","","3.47","","","31.49","","24.51","","","","","","","14.8","","","","","","","13.96","","","","","","","4.88","","7.86","","",""
"15","2025-05-08 01:06:44","8","en","540617401","2025-05-08 01:04:47","2025-05-08 01:06:44","23.174.48.2","","A5","","","A4","A4","A3","","","","","AGB","","","","","","","","","AGR","","","","","","","AGR","","","","","","","A1","3","0","5c7c1f95e926fc00160b4b45","121.54","23.7","","4.9","","","34.52","","17.29","","","","","","","12.7","","","","","","","10.37","","","","","","","5.63","","12.43","","",""
