"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnST]","Kc[KnPR]","Kc[KnAG]","HrKnSTAgr","HrKnSTAgr[other]","HrKnSTDis","HrKnSTDis[other]","HrKnSTHes","HrKnSTHes[other]","HrKnSTAgrOt","HrKnSTDisOt","HrKnSTHesOt","HrKnPRAgr","HrKnPRAgr[other]","HrKnPRDis","HrKnPRDis[other]","HrKnPRHes","HrKnPRHes[other]","HrKnPRAgrOt","HrKnPRDisOt","HrKnPRHesOt","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48363","attTime","groupTime48362","SUCCESSTime","pause1Time","groupTime48366","KcTime","groupTime48369","HrKnSTAgrTime","HrKnSTDisTime","HrKnSTHesTime","HrKnSTAgrOtTime","HrKnSTDisOtTime","HrKnSTHesOtTime","groupTime48368","HrKnPRAgrTime","HrKnPRDisTime","HrKnPRHesTime","HrKnPRAgrOtTime","HrKnPRDisOtTime","HrKnPRHesOtTime","groupTime48365","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48367","IntChairTime","groupTime48364","M3Time","M4Time","PROLIFICTime"
"6","2025-05-07 23:54:05","8","en","1513701892","2025-05-07 23:49:05","2025-05-07 23:54:05","172.56.163.18","","A5","","","A6","A4","A6","AGR","","","","","","","","","","","","","AGA","","","","","AGR","","","","","","","","","A2","5","0","67312771712151bbee75c7e2","303.31","120.68","","3.76","","","32.6","","86.59","","","","","","","9.1","","","","","","","7.97","","","","","","","12.17","","30.44","","",""
"7","2025-05-08 00:03:58","8","en","459720697","2025-05-07 23:51:47","2025-05-08 00:03:58","77.98.176.176","https://app.prolific.com/","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","6","0","677406a14c6e104dba32e029","734","23.41","","5.59","","","115.72","","19.39","","","","","","","24.34","","","","","","","525.16","","","","","","","6.7","","13.69","","",""
"8","2025-05-07 23:55:13","8","en","129485611","2025-05-07 23:52:41","2025-05-07 23:55:13","35.138.113.59","","A5","","","A4","A5","A5","","","","","AGB","","","","","AGA","","","","","","","","","AGR","","","","","","","","","A2","4","1","5c747b0f181ad300113363ed","153.56","40.09","","6.23","","","32.99","","26.89","","","","","","","17.57","","","","","","","8.6","","","","","","","7.01","","14.18","","",""
"9","2025-05-08 00:02:51","8","en","251821613","2025-05-07 23:52:42","2025-05-08 00:02:51","86.109.84.233","","A5","","","A4","A4","A3","","","","","AGA","","","","","","","","","AGR","","","","","","","AGB","","","","","","","A2","5","1","67e971fe972a4be474579d18","611.38","103.1","","8.93","","","182.37","","77.55","","","","","","","119.57","","","","","","","69.1","","","","","","","29.52","","21.24","","",""
"10","2025-05-07 23:55:36","8","en","635560012","2025-05-07 23:53:42","2025-05-07 23:55:36","174.246.135.217","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","4","0","6778aa34a81ab2f07e0d4c25","116.34","26.43","","4.19","","","27.33","","16.69","","","","","","","18.38","","","","","","","6.41","","","","","","","4.71","","12.2","","",""
"11","2025-05-07 23:57:47","8","en","672413459","2025-05-07 23:56:31","2025-05-07 23:57:47","24.186.214.254","","A5","","","A6","A6","A5","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A1","4","1","5dcf7b49523df00ae9c4e07e","84.93","24.44","","2.66","","","13.68","","6.5","","","","","","","12.61","","","","","","","6.03","","","","","","","4.12","","14.89","","",""
"12","2025-05-08 00:04:51","8","en","1542801534","2025-05-07 23:57:25","2025-05-08 00:04:51","98.50.254.133","","A5","","","A7","A7","A4","AGA","","","","","","","","","AGA","","","","","","","","","","","","","-oth-","","","","The CEO did not care about helping the environment, therefore, helping the environment was not a factor for the CEO's agreement. He was only in it for the profit. ","A2","3","1","67511ed5a097322f28dadcef@email.prolific.com","449.52","81.54","","10.42","","","108.7","","25.61","","","","","","","21.29","","","","","","","160.02","","","","","","","7.32","","34.62","","",""
"13","2025-05-08 00:05:12","8","en","708431332","2025-05-07 23:58:21","2025-05-08 00:05:12","77.96.224.68","https://app.prolific.com/","A5","","","A1","A2","A1","","","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","A2","4","0","6712dc9aa03ad1da92e70829","413.07","119.77","","19.92","","","91.85","","49.58","","","","","","","40.81","","","","","","","41.52","","","","","","","36.97","","12.65","","",""
"14","2025-05-08 00:09:21","8","en","1529345074","2025-05-08 00:03:33","2025-05-08 00:09:21","172.59.213.239","","A5","","","A1","A7","A7","","","AGB","","","","","","","AGA","","","","","","","","","AGB","","","","","","","","","A1","4","0","679ff314e2068250f20a0863","351.22","86.81","","14.04","","","88.32","","38.98","","","","","","","34.63","","","","","","","30.62","","","","","","","30.31","","27.51","","",""
"15","2025-05-08 00:07:39","8","en","18783775","2025-05-08 00:04:06","2025-05-08 00:07:39","76.149.67.167","","A5","","","A2","A2","A2","","","AGR","","","","","","","","","AGA","","","","","","","","","AGR","","","","","","","A2","5","1","670075d557d79b4cef60c761","214.66","70.72","","8.23","","","37.94","","39.61","","","","","","","15.86","","","","","","","26.95","","","","","","","4.9","","10.45","","",""
