Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
681bef98ff21aefa5eb3033c,62916bb383e38e21d42cef2b,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:25.424000Z,2025-05-07T23:43:48.497000Z,,2025-05-07T23:43:49.033162Z,144.0,2B73928C,877,34,Male,White,United States,United States,United States,English,No,Full-Time
681befa1f3f85dacde034065,66bbcf42208f7ca6793ac25b,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:21.748000Z,2025-05-07T23:43:14.952000Z,,2025-05-07T23:43:15.450779Z,114.0,2B73928C,93,21,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681befa33c7bd7ae84e0ec97,5f4e52a627d2a0000a8ed0c5,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:54.060000Z,2025-05-07T23:45:21.997000Z,,2025-05-07T23:45:22.527325Z,208.0,2B73928C,312,44,Male,White,DATA_EXPIRED,United States,United States,English,No,Part-Time
681befa56eb10336f1c5ad0a,6234965d3869b875dc31d93a,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:47.226000Z,2025-05-07T23:44:52.463000Z,,2025-05-07T23:44:52.938127Z,186.0,2B73928C,4907,31,Male,Asian,United States,United States,United States,English,Yes,Full-Time
681befa6d10e20a621529af1,5a8ad2082a842c0001fce0f2,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:31.663000Z,2025-05-07T23:45:33.468000Z,,2025-05-07T23:45:34.064953Z,242.0,2B73928C,3371,29,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681befa88fc77ffbbfdde468,5b233660648d5b0001b7de87,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:44.160000Z,2025-05-07T23:45:49.495000Z,,2025-05-07T23:45:50.016572Z,246.0,2B73928C,8588,71,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681befb057d98687cb404818,66cd14d073d037ecfd8ddfbb,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:36.690000Z,2025-05-07T23:45:59.829000Z,,2025-05-07T23:46:11.388595Z,264.0,2B73928C,65,20,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
681befba7fe35a23bb778b64,65847ecf0896ca006d2c00b7,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:52.909000Z,2025-05-07T23:45:21.586000Z,,2025-05-07T23:45:22.081570Z,209.0,2B73928C,3181,33,Female,Asian,United States,United States,United States,English,No,Full-Time
681befbe67826471b370c5e7,66e4ca06d1621d63704c83f9,AWAITING REVIEW,Not Applicable,2025-05-07T23:41:57.230000Z,2025-05-07T23:47:15.211000Z,,2025-05-07T23:47:15.734505Z,318.0,2B73928C,572,60,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
681befc962b132de62662ada,680dcb74ab0a3a21ef2d6d89,AWAITING REVIEW,Not Applicable,2025-05-07T23:42:09.900000Z,2025-05-07T23:47:29.422000Z,,2025-05-07T23:47:29.998389Z,320.0,2B73928C,196,70,Male,White,United States,United States,United States,English,No,Full-Time
681befe402d53abeb8ca3f8f,67ed61848c7659044358adf0,AWAITING REVIEW,Not Applicable,2025-05-07T23:42:35.406000Z,2025-05-07T23:47:51.816000Z,,2025-05-07T23:47:52.334537Z,317.0,2B73928C,198,21,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf005faead7efa6d41ace,67f24dddcc783cdf7a1ea017,AWAITING REVIEW,Not Applicable,2025-05-07T23:43:01.193000Z,2025-05-07T23:48:44.822000Z,,2025-05-07T23:48:45.331737Z,344.0,2B73928C,346,24,Male,Black,United States,United States,United States,English,Yes,Full-Time
681bf0142dc2397293cf7dd5,67d89acf081049fa0e311adc,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:29.652000Z,2025-05-07T23:51:38.767000Z,,2025-05-07T23:51:39.323445Z,310.0,2B73928C,138,38,Male,White,United States,United States,United States,English,No,Full-Time
681bf0349c87efb31264e98a,67c35bed28161edad1829850,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:10.639000Z,2025-05-07T23:52:44.541000Z,,2025-05-07T23:52:45.048005Z,514.0,2B73928C,454,66,Male,White,United States,United States,United States,English,No,Full-Time
681bf0405097312a725a2f29,65dfbf73ec3a047b5653add8,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:09.874000Z,2025-05-07T23:46:33.986000Z,,2025-05-07T23:46:34.554408Z,145.0,2B73928C,2207,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf049051cda621f3bc3fa,67d87fa5f2beefdc110fb4b2,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:24.290000Z,2025-05-07T23:48:48.274000Z,,2025-05-07T23:48:48.899842Z,264.0,2B73928C,250,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf04d9acc98b792dc7fad,6113baed20301957a13e9752,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:21.280000Z,2025-05-07T23:49:12.357000Z,,2025-05-07T23:49:12.910868Z,292.0,2B73928C,1189,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Due to start a new job within the next month
681bf0645cb48d541a0bb7f2,63ea751b7686e752f5ef78b2,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:40.914000Z,2025-05-07T23:47:38.549000Z,,2025-05-07T23:47:39.055163Z,178.0,2B73928C,5704,67,Male,White,United States,United States,United States,English,No,Full-Time
681bf064d10e20a621529b08,67eb91c75bdf0be76c9a7f7c,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:36.281000Z,2025-05-07T23:50:08.411000Z,,2025-05-07T23:50:08.978727Z,333.0,2B73928C,156,36,Female,White,United States,United States,United States,English,No,Part-Time
681bf0703b97a5001524b2cb,58d0632c2fc72000011f8c57,AWAITING REVIEW,Not Applicable,2025-05-07T23:44:52.633000Z,2025-05-07T23:51:32.080000Z,,2025-05-07T23:51:32.636771Z,400.0,2B73928C,5416,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
681bf08038ad2dd910c931c8,5b57894babd7a000014845b8,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:09.788000Z,2025-05-07T23:51:28.601000Z,,2025-05-07T23:51:29.161799Z,379.0,2B73928C,1573,36,Female,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf088becc74284d32431f,65c0ed76e2e195876cfd9b74,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:15.984000Z,2025-05-07T23:48:21.769000Z,,2025-05-07T23:48:22.314563Z,186.0,2B73928C,3734,55,Male,White,United States,United States,United States,English,No,Full-Time
681bf08e67a232e6d681a356,671fca7287fb225453006af0,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:34.452000Z,2025-05-07T23:54:06.999000Z,,2025-05-07T23:54:07.722814Z,513.0,2B73928C,801,54,Male,White,Bosnia and Herzegovina,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf0926e1c8baab591d491,62b44f66a16d45783569fad6,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:57.295000Z,2025-05-07T23:50:50.421000Z,,2025-05-07T23:50:51.016024Z,294.0,2B73928C,2933,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
681bf0a85d229ed8f6119de6,67d35d2c2eff9287d28e04e8,AWAITING REVIEW,Not Applicable,2025-05-07T23:45:53.635000Z,2025-05-07T23:51:49.774000Z,,2025-05-07T23:51:50.343649Z,357.0,2B73928C,529,25,Female,Black,United States,United States,United States,English,No,Part-Time
681bf0aa02cf0379c8eae7bc,5efec82cf597a73e75e3fbe0,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:39.087000Z,2025-05-07T23:49:48.560000Z,,2025-05-07T23:49:49.078229Z,130.0,2B73928C,4393,23,Female,Asian,United States,United States,United States,English,Yes,Part-Time
681bf0ad0f5f909b47e44593,67da04c280954fc1c778ca02,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:06.769000Z,2025-05-07T23:52:42.751000Z,,2025-05-07T23:52:43.301435Z,396.0,2B73928C,417,56,Female,White,United States,United States,United States,English,No,Full-Time
681bf0bb02d53abeb8ca3fa2,66ca41de318c12cd9f59b13a,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:11.518000Z,2025-05-07T23:51:54.408000Z,,2025-05-07T23:51:54.927281Z,343.0,2B73928C,1015,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
681bf0e3a52bb1b601dec284,67e6bc676fb4db70edc23b5b,AWAITING REVIEW,Not Applicable,2025-05-07T23:46:51.661000Z,2025-05-07T23:49:51.281000Z,,2025-05-07T23:49:51.858334Z,180.0,2B73928C,445,61,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
681bf1101d63186ff4eaf0bd,63e5747f1eb29ec68ae2ddd6,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:28.273000Z,2025-05-07T23:49:19.931000Z,,2025-05-07T23:49:20.504937Z,112.0,2B73928C,807,23,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
681bf113088f751eeddecdde,67e9abb9af847e68878b7c45,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:41.619000Z,2025-05-07T23:52:08.519000Z,,2025-05-07T23:52:09.049439Z,267.0,2B73928C,379,42,Female,White,United States,United States,United States,English,No,Full-Time
681bf121603b32377373eda8,678df4f0880dc11090c4839e,AWAITING REVIEW,Not Applicable,2025-05-07T23:47:45.534000Z,2025-05-07T23:52:05.307000Z,,2025-05-07T23:52:05.870548Z,260.0,2B73928C,80,22,Male,Black,United States,United States,United States,English,No,Full-Time
681bf12c2a26b0319feaeb83,67ddb06bc7175d8f155fe2bf,AWAITING REVIEW,Not Applicable,2025-05-07T23:48:00.269000Z,2025-05-07T23:53:59.608000Z,,2025-05-07T23:54:00.200945Z,360.0,2B73928C,682,48,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf146114dfc70b046a13a,67312771712151bbee75c7e2,AWAITING REVIEW,Not Applicable,2025-05-07T23:48:48.628000Z,2025-05-07T23:54:09.530000Z,,2025-05-07T23:54:10.063107Z,321.0,2B73928C,338,31,Male,Asian,India,United States,DATA_EXPIRED,English,No,Full-Time
681bf15ca2631abf2c57abb9,67d75f1ff8a898b755874144,AWAITING REVIEW,Not Applicable,2025-05-07T23:48:51.275000Z,2025-05-07T23:52:53.776000Z,,2025-05-07T23:52:54.304965Z,243.0,2B73928C,655,34,Female,White,United States,United States,United States,English,No,Full-Time
681bf178c9944e898010add1,67e976a6e06398ceb7d16dd4,AWAITING REVIEW,Not Applicable,2025-05-07T23:49:12.788000Z,2025-05-07T23:52:21.754000Z,,2025-05-07T23:52:22.276829Z,189.0,2B73928C,803,44,Male,Black,United States,United States,United States,English,No,Full-Time
681bf17df797aaa77bbd16e4,67e42560410a61123e726006,AWAITING REVIEW,Not Applicable,2025-05-07T23:49:16.993000Z,2025-05-07T23:53:46.681000Z,,2025-05-07T23:53:47.246980Z,270.0,2B73928C,232,19,Male,Black,South Africa,United States,United States,English,No,DATA_EXPIRED
681bf18a198d460e242399b3,6811ffcdbe04a28e7b3ab8a9,AWAITING REVIEW,Not Applicable,2025-05-07T23:49:39.856000Z,2025-05-07T23:55:31.318000Z,,2025-05-07T23:55:31.937656Z,352.0,2B73928C,7,63,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
681bf1a67386ab53998249eb,5efd22056ec55516587f32a6,AWAITING REVIEW,Not Applicable,2025-05-07T23:49:58.758000Z,2025-05-07T23:56:02.170000Z,,2025-05-07T23:56:02.808760Z,364.0,2B73928C,4823,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
